gids,downloaded
0021300212,0
0021800426,0
0021201189,0
0021201051,0
0021500213,0
0021300003,0
0021700946,0
0021301079,0
0021400389,0
0021700064,0
0021400398,0
0021301067,0
0021700480,0
0021800840,0
0021200839,0
0021501104,0
0021300666,0
0021300946,0
0021800802,0
0021200960,0
0021800475,0
0021200303,0
0021400986,0
0021200909,0
0021500713,0
0021700901,0
0021500134,0
0021200011,0
0021700472,0
0021300280,0
0021300743,0
0021300669,0
0021700226,0
0021500846,0
0021400994,0
0021300260,0
0021800110,0
0021700534,0
0021700509,0
0021500599,0
0021700599,0
0021400591,0
0021401002,0
0021401099,0
0021500856,0
0021300953,0
0021301146,0
0021300403,0
0021500191,0
0021300187,0
0021700721,0
0021800716,0
0021200566,0
0021400229,0
0021701107,0
0021501065,0
0021300329,0
0021700587,0
0021400682,0
0021701128,0
0021800309,0
0021400337,0
0021500827,0
0021800467,0
0021800620,0
0021800352,0
0021400143,0
0021700909,0
0021700048,0
0021201025,0
0021800075,0
0021400146,0
0021400410,0
0021501044,0
0021800982,0
0021300164,0
0021200818,0
0021700864,0
0021500958,0
0021400532,0
0021400020,0
0021400713,0
0021200569,0
0021200963,0
0021801171,0
0021701192,0
0021200760,0
0021800430,0
0021300104,0
0021200196,0
0021500116,0
0021500350,0
0021300417,0
0021300140,0
0021800520,0
0021800121,0
0021400502,0
0021800635,0
0021200823,0
0021300165,0
0021400509,0
0021500506,0
0021400511,0
0021501037,0
0021801179,0
0021300684,0
0021300766,0
0021400484,0
0021700906,0
0021301053,0
0021700670,0
0021301190,0
0021400872,0
0021800089,0
0021301043,0
0021200840,0
0021701080,0
0021400129,0
0021700304,0
0021200041,0
0021400569,0
0021400044,0
0021800042,0
0021500742,0
0021500505,0
0021300613,0
0021800874,0
0021400478,0
0021400779,0
0021700508,0
0021300801,0
0021800076,0
0021401096,0
0021800717,0
0021300776,0
0021300756,0
0021200301,0
0021300453,0
0021200629,0
0021400322,0
0021700515,0
0021300892,0
0021801118,0
0021700524,0
0021501024,0
0021300606,0
0021800202,0
0021500193,0
0021700355,0
0021200697,0
0021300625,0
0021300085,0
0021400087,0
0021800807,0
0021500865,0
0021800785,0
0021300300,0
0021401031,0
0021700200,0
0021801001,0
0021400745,0
0021201013,0
0021501128,0
0021500024,0
0021301161,0
0021200891,0
0021200861,0
0021800604,0
0021200693,0
0021500414,0
0021700081,0
0021300755,0
0021300710,0
0021800599,0
0021400626,0
0021301025,0
0021300328,0
0021200710,0
0021300687,0
0021700963,0
0021700505,0
0021200419,0
0021500835,0
0021200103,0
0021200063,0
0021200930,0
0021300113,0
0021800954,0
0021500305,0
0021700586,0
0021200349,0
0021200451,0
0021301208,0
0021800262,0
0021300941,0
0021200743,0
0021500992,0
0021400820,0
0021500867,0
0021400601,0
0021200952,0
0021700307,0
0021400231,0
0021500874,0
0021200978,0
0021700533,0
0021700640,0
0021800095,0
0021400805,0
0021800062,0
0021300633,0
